model,approach,setting,project,k_label,k,f1_macro,accuracy,f1_bug,f1_feature,f1_question,precision_bug,recall_bug,precision_feature,recall_feature,precision_question,recall_question,invalid_rate,source
Qwen-14B,ragtag,agnostic,ansible_ansible,k9,9.0,0.6708,0.7167,0.8348,0.8067,0.371,0.7385,0.96,0.6957,0.96,0.9583,0.23,0.0267,derived_from_predictions
Qwen-14B,ragtag,agnostic,bitcoin_bitcoin,k6,6.0,0.6719,0.6767,0.6842,0.8626,0.469,0.6094,0.78,0.8198,0.91,0.7556,0.34,0.0533,derived_from_predictions
Qwen-14B,ragtag,agnostic,dart-lang_sdk,k9,9.0,0.8268,0.8233,0.812,0.8663,0.8023,0.709,0.95,0.931,0.81,0.9221,0.71,0.0067,derived_from_predictions
Qwen-14B,ragtag,agnostic,dotnet_roslyn,k6,6.0,0.6269,0.6467,0.651,0.798,0.4317,0.5355,0.83,0.7864,0.81,0.7692,0.3,0.01,derived_from_predictions
Qwen-14B,ragtag,agnostic,facebook_react,k6,6.0,0.798,0.8,0.8066,0.8634,0.7241,0.6853,0.98,0.9518,0.79,0.8514,0.63,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,flutter_flutter,k3,3.0,0.7454,0.7567,0.7404,0.8558,0.64,0.6444,0.87,0.8,0.92,0.96,0.48,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,kubernetes_kubernetes,k3,3.0,0.8263,0.8267,0.7748,0.9366,0.7674,0.7049,0.86,0.9143,0.96,0.9167,0.66,0.0033,derived_from_predictions
Qwen-14B,ragtag,agnostic,microsoft_TypeScript,k9,9.0,0.6064,0.62,0.6486,0.7539,0.4167,0.5283,0.84,0.7912,0.72,0.6818,0.3,0.02,derived_from_predictions
Qwen-14B,ragtag,agnostic,microsoft_vscode,k9,9.0,0.6465,0.64,0.655,0.7464,0.5379,0.5814,0.75,0.7156,0.78,0.8667,0.39,0.0567,derived_from_predictions
Qwen-14B,ragtag,agnostic,opencv_opencv,k9,9.0,0.6922,0.6767,0.681,0.8187,0.5769,0.5985,0.79,0.8495,0.79,0.8036,0.45,0.0633,derived_from_predictions
Qwen-14B,ragtag,agnostic,tensorflow_tensorflow,k3,3.0,0.7693,0.7733,0.8133,0.8023,0.6923,0.695,0.98,0.9221,0.71,0.7683,0.63,0.0,derived_from_predictions
Qwen-14B,ragtag,project_specific,ansible_ansible,k9,9.0,0.675,0.72,0.817,0.824,0.384,0.7111,0.96,0.7218,0.96,0.96,0.24,0.0233,eval_csv
Qwen-14B,ragtag,project_specific,bitcoin_bitcoin,k9,9.0,0.6991,0.7,0.6996,0.891,0.5067,0.6341,0.78,0.8468,0.94,0.76,0.38,0.0533,eval_csv
Qwen-14B,ragtag,project_specific,dart-lang_sdk,k9,9.0,0.8408,0.8367,0.8155,0.8889,0.8182,0.7143,0.95,0.9438,0.84,0.9474,0.72,0.0067,eval_csv
Qwen-14B,ragtag,project_specific,dotnet_roslyn,k6,6.0,0.6241,0.6467,0.6589,0.796,0.4173,0.538,0.85,0.7921,0.8,0.7436,0.29,0.0067,eval_csv
Qwen-14B,ragtag,project_specific,facebook_react,k9,9.0,0.7973,0.8,0.8033,0.871,0.7176,0.6806,0.98,0.9419,0.81,0.8714,0.61,0.0,eval_csv
Qwen-14B,ragtag,project_specific,flutter_flutter,k3,3.0,0.7389,0.75,0.7382,0.8426,0.6358,0.6466,0.86,0.7845,0.91,0.9412,0.48,0.0,eval_csv
Qwen-14B,ragtag,project_specific,kubernetes_kubernetes,k3,3.0,0.8333,0.8333,0.7818,0.9366,0.7816,0.7167,0.86,0.9143,0.96,0.9189,0.68,0.0033,eval_csv
Qwen-14B,ragtag,project_specific,microsoft_TypeScript,k9,9.0,0.6089,0.6233,0.6537,0.7565,0.4167,0.535,0.84,0.7849,0.73,0.6818,0.3,0.02,eval_csv
Qwen-14B,ragtag,project_specific,microsoft_vscode,k9,9.0,0.6584,0.65,0.6638,0.7536,0.5578,0.5891,0.76,0.729,0.78,0.8723,0.41,0.0567,eval_csv
Qwen-14B,ragtag,project_specific,opencv_opencv,k9,9.0,0.6947,0.6767,0.6753,0.8229,0.586,0.5954,0.78,0.8587,0.79,0.807,0.46,0.0667,eval_csv
Qwen-14B,ragtag,project_specific,tensorflow_tensorflow,k3,3.0,0.7728,0.7767,0.8167,0.8023,0.6995,0.7,0.98,0.9221,0.71,0.7711,0.64,0.0,eval_csv
Qwen-32B,ragtag,agnostic,ansible_ansible,k9,9.0,0.7269,0.7433,0.8598,0.8136,0.5072,0.807,0.92,0.7059,0.96,0.9211,0.35,0.04,derived_from_predictions
Qwen-32B,ragtag,agnostic,bitcoin_bitcoin,k9,9.0,0.7298,0.7167,0.7157,0.8654,0.6082,0.7019,0.73,0.8333,0.9,0.7324,0.52,0.0567,derived_from_predictions
Qwen-32B,ragtag,agnostic,dart-lang_sdk,k9,9.0,0.8568,0.8533,0.843,0.8796,0.8478,0.7642,0.94,0.9231,0.84,0.9286,0.78,0.0067,derived_from_predictions
Qwen-32B,ragtag,agnostic,dotnet_roslyn,k3,3.0,0.6709,0.6867,0.6855,0.8137,0.5135,0.5743,0.85,0.7981,0.83,0.7917,0.38,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,facebook_react,k9,9.0,0.8289,0.83,0.8362,0.877,0.7735,0.7348,0.97,0.9425,0.82,0.8642,0.7,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,flutter_flutter,k3,3.0,0.805,0.8067,0.7807,0.8768,0.7574,0.6953,0.89,0.8641,0.89,0.9275,0.64,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,kubernetes_kubernetes,k3,3.0,0.8401,0.8367,0.7847,0.9268,0.8087,0.7523,0.82,0.9048,0.95,0.8916,0.74,0.01,derived_from_predictions
Qwen-32B,ragtag,agnostic,microsoft_TypeScript,k3,3.0,0.6558,0.6733,0.6989,0.7579,0.5106,0.5562,0.94,0.8,0.72,0.878,0.36,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,microsoft_vscode,k9,9.0,0.7353,0.7167,0.7109,0.7961,0.6988,0.6757,0.75,0.7736,0.82,0.8788,0.58,0.0567,derived_from_predictions
Qwen-32B,ragtag,agnostic,opencv_opencv,k9,9.0,0.7617,0.74,0.7442,0.8469,0.6941,0.6957,0.8,0.8646,0.83,0.8429,0.59,0.0633,derived_from_predictions
Qwen-32B,ragtag,agnostic,tensorflow_tensorflow,k3,3.0,0.812,0.8133,0.8421,0.8161,0.7778,0.75,0.96,0.9595,0.71,0.7857,0.77,0.0,derived_from_predictions
Qwen-32B,ragtag,project_specific,ansible_ansible,k9,9.0,0.7173,0.74,0.8282,0.8496,0.4741,0.7402,0.94,0.7619,0.96,0.9143,0.32,0.04,eval_csv
Qwen-32B,ragtag,project_specific,bitcoin_bitcoin,k6,6.0,0.7303,0.72,0.7122,0.8679,0.6108,0.6952,0.73,0.8214,0.92,0.7612,0.51,0.0533,eval_csv
Qwen-32B,ragtag,project_specific,dart-lang_sdk,k9,9.0,0.8603,0.8567,0.8468,0.8783,0.8556,0.7705,0.94,0.9326,0.83,0.9195,0.8,0.0067,eval_csv
Qwen-32B,ragtag,project_specific,dotnet_roslyn,k6,6.0,0.6708,0.68,0.6803,0.796,0.5359,0.5764,0.83,0.7921,0.8,0.7736,0.41,0.0067,eval_csv
