model,model_tag,setting,project,approach,k_label,k,cost_path
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ft,finetune_fixed,,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,zero_shot,0.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ft,finetune_fixed,,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
